ERR10671864-Aligned.out.sorted.bam ERR10671865-Aligned.out.sorted.bam ERR10671866-Aligned.out.sorted.bam ERR10671867-Aligned.out.sorted.bam SRR7405885-Aligned.out.sorted.bam
PP4_RS01195 135 125 129 0 149
PP4_RS01200 52 45 41 0 80
PP4_RS01205 121 137 122 0 244
PP4_RS01215 64 58 62 0 45
PP4_RS01220 16 7 11 0 6
PP4_RS01225 5 3 1 0 9
PP4_RS01230 5 6 3 0 20
PP4_RS01235 8 2 3 0 14
PP4_RS01240 10 4 3 0 26
PP4_RS01245 10 7 11 0 49
PP4_RS01250 54 56 54 0 84
PP4_RS01255 121 106 113 0 117
PP4_RS01260 635 607 591 0 337
PP4_RS01265 98 108 114 0 140
PP4_RS01270 55 46 62 0 149
PP4_RS01275 10 3 2 0 67
PP4_RS01280 3 5 4 0 26
PP4_RS01285 6 9 5 0 88
PP4_RS01290 13 22 11 0 156
PP4_RS01295 592 611 614 0 87
PP4_RS01300 126 123 129 0 645
PP4_RS01305 11 16 9 0 376
PP4_RS01310 12 9 4 0 102
PP4_RS01315 9 6 9 0 72
PP4_RS01320 1 1 3 0 23
PP4_RS01325 10 11 4 0 29
PP4_RS01330 5 5 3 0 16
PP4_RS01335 34 14 21 0 57
PP4_RS01340 214 220 209 0 697
PP4_RS01345 30 34 38 0 27
PP4_RS01350 276 259 274 0 278
PP4_RS01355 274 265 264 0 1927
PP4_RS01360 148 125 141 0 445
PP4_RS01365 46 38 46 0 99
PP4_RS01370 20 22 12 0 105
PP4_RS01375 55 59 62 0 79
PP4_RS01380 260 258 234 0 553
PP4_RS01385 135 162 122 0 237
PP4_RS01390 1287 1311 1364 0 1403
PP4_RS01395 0 0 0 0 0
PP4_RS01400 0 0 0 0 0
PP4_RS01405 0 0 0 0 0
PP4_RS01410 121 125 112 0 580
PP4_RS01415 90 104 130 0 360
PP4_RS01420 34 35 37 0 206
PP4_RS01425 4365 4465 4207 0 332
PP4_RS01430 31 35 35 0 32
PP4_RS01435 90 88 89 0 158
PP4_RS01440 103 100 102 0 129
PP4_RS01445 28 35 26 0 42
PP4_RS01450 38 50 36 0 162
PP4_RS01455 48 44 54 0 176
PP4_RS01460 96 104 108 0 233
PP4_RS01465 136 140 140 0 157
PP4_RS01470 18 21 17 0 21
PP4_RS01475 33 26 39 0 45
PP4_RS01480 1058 1009 1024 0 544
PP4_RS01485 9 12 12 0 423
PP4_RS01490 9 6 12 0 20
PP4_RS01495 38 42 32 0 26
PP4_RS01500 62 76 71 0 69
PP4_RS01505 77 76 77 0 76
PP4_RS01510 0 0 0 0 0
PP4_RS01515 0 0 0 0 0
PP4_RS01525 5 3 1 0 0
PP4_RS01530 4 5 7 0 0
PP4_RS01535 16 22 11 0 7
PP4_RS01540 12 13 9 0 18
PP4_RS01545 9 13 12 0 35
PP4_RS01550 57 57 64 0 102
PP4_RS01555 43 34 40 0 87
PP4_RS01560 1081 1112 1013 0 431
PP4_RS01565 221 217 234 0 753
PP4_RS01570 44 49 41 0 85
PP4_RS01575 48 49 44 0 63
PP4_RS01580 0 0 0 0 0
PP4_RS01585 7 7 3 0 11
PP4_RS01590 27 37 38 0 56
PP4_RS01595 40 42 33 0 221
PP4_RS01600 202 190 195 0 282
PP4_RS01605 45 38 52 0 70
PP4_RS01610 256 268 288 0 396
PP4_RS01615 106 104 112 0 137
PP4_RS01620 27 28 32 0 6
PP4_RS01625 235 210 231 0 271
PP4_RS01630 139 141 148 0 260
PP4_RS01635 134 155 148 0 256
PP4_RS01640 41 36 34 0 58
PP4_RS01645 239 246 230 0 303
PP4_RS01650 10 13 10 0 58
PP4_RS01655 271 296 296 0 475
PP4_RS01660 64 70 55 0 56
PP4_RS01665 0 0 0 0 0
PP4_RS01670 29 36 40 0 12
PP4_RS01675 9 5 7 0 13
PP4_RS01680 33 28 22 0 26
PP4_RS01685 16 21 23 0 15
PP4_RS01690 51 42 35 0 24
PP4_RS01695 0 0 0 0 0
PP4_RS01700 0 0 0 0 0
PP4_RS01705 86 111 109 0 268
PP4_RS01710 14 16 11 0 42
PP4_RS01715 55 75 73 0 172
PP4_RS01720 15 11 17 0 43
PP4_RS01725 11 10 11 0 26
PP4_RS01730 3 2 2 0 0
PP4_RS01735 0 0 0 0 0
PP4_RS01740 42 42 45 0 124
PP4_RS01745 93 98 83 0 270
PP4_RS01750 3 7 5 0 5
PP4_RS01755 96 111 104 0 72
PP4_RS01760 39 33 36 0 12
PP4_RS01765 12 8 16 0 5
PP4_RS01770 113 89 96 0 106
PP4_RS01775 60 67 61 0 339
PP4_RS01780 52 50 39 0 139
PP4_RS01785 11 12 14 0 24
PP4_RS01790 179 204 206 0 632
PP4_RS01795 29 48 41 0 130
PP4_RS01800 72 70 67 0 114
PP4_RS01805 177 179 149 0 182
PP4_RS01810 6 9 5 0 40
PP4_RS01820 0 0 0 0 0
PP4_RS01825 22 30 26 0 83
PP4_RS01830 66 69 62 0 140
PP4_RS01835 0 0 0 0 0
PP4_RS01840 0 0 0 0 0
PP4_RS01845 0 0 0 0 0
PP4_RS01850 0 0 0 0 0
PP4_RS01855 42 53 49 0 33
PP4_RS01860 254 201 205 0 377
PP4_RS01865 189 201 193 0 338
PP4_RS01870 1474 1615 1578 0 7321
